Index,C,Score,kernel
0,0.0008030551892884162,0.624,rbf
1,0.6402675092752768,0.8043333333333335,rbf
2,0.23805109111061606,0.7876666666666666,rbf
3,0.0012788545979055663,0.608,linear
4,0.9804835658826174,0.657,linear
5,0.15360073653514206,0.6646666666666667,linear
6,0.2911308281633311,0.673,linear
7,0.020592300915952523,0.6806666666666668,linear
8,0.8007269190167683,0.8043333333333333,rbf
9,0.027658950331688456,0.6890000000000001,linear
