Index,Score,bootstrap,max_features,min_samples_split
0,0.8776666666666666,True,auto,2
1,0.8450000000000001,True,auto,5
2,0.829,True,auto,10
3,0.8776666666666667,True,sqrt,2
4,0.8453333333333333,True,sqrt,5
5,0.8126666666666666,True,sqrt,10
6,0.8783333333333333,False,auto,2
7,0.8536666666666667,False,auto,5
8,0.8210000000000001,False,auto,10
9,0.8943333333333333,False,sqrt,2
10,0.8783333333333333,False,sqrt,5
11,0.8453333333333333,False,sqrt,10
