Index,Score,C,kernel
0,-0.8290000000000001,51.11393396840714,0
1,-0.8290000000000001,0.00023437451743634068,0
2,-0.8290000000000001,0.16770424213375174,2
3,-0.8290000000000001,3.2466723302834,2
4,-0.8290000000000001,0.0016290811031721246,2
5,-0.8290000000000001,0.00683283231342435,1
6,-0.8290000000000001,21.02495575161478,1
7,-0.8290000000000001,0.0009687358867874966,0
8,-0.8290000000000001,0.0012511756933663023,0
9,-0.8290000000000001,0.025573774214465043,1
10,-0.8290000000000001,0.09331561548940145,0
11,-0.8290000000000001,0.44532961361170875,2
12,-0.8290000000000001,0.0015894762171834063,1
13,-0.8290000000000001,0.007945211163849867,1
14,-0.8290000000000001,0.00910157505423118,2
15,-0.8290000000000001,0.00961222544266044,2
16,-0.8290000000000001,0.0001680808488856942,1
17,-0.8290000000000001,0.0008759956153656552,0
18,-0.8290000000000001,0.0005222267090946981,2
19,-0.8290000000000001,0.022709772559338023,2
20,-0.8290000000000001,85.06641742581161,0
21,-0.8290000000000001,4.210858299294798,0
22,-0.8290000000000001,1.0782116220919258,0
23,-0.8290000000000001,81.20827291848322,0
24,-0.8290000000000001,5.168192526761308,0
25,-0.8290000000000001,1.1188521171190284,0
26,-0.8290000000000001,94.35532798080159,0
27,-0.8290000000000001,18.912056203261983,0
28,-0.8290000000000001,22.324455265534304,0
29,-0.8290000000000001,96.81473459768748,0
30,-0.8290000000000001,24.406501867422122,0
31,-0.8290000000000001,9.637682840033735,0
32,-0.8290000000000001,44.815334505394205,0
33,-0.8290000000000001,1.5883927328868108,0
34,-0.8290000000000001,8.169001091840663,0
35,-0.8290000000000001,0.05928428634701454,2
36,-0.8290000000000001,0.3643760905581153,1
37,-0.8290000000000001,46.76930005317057,0
38,-0.8290000000000001,2.713695364273002,0
39,-0.8290000000000001,0.5549709167615035,1
40,-0.8290000000000001,0.19506341572717703,0
41,-0.8290000000000001,0.9646336723901094,0
42,-0.8290000000000001,0.003611858142852275,1
43,-0.8290000000000001,10.270797801311637,2
44,-0.8290000000000001,4.0392777360890575,0
45,-0.8290000000000001,0.1514517456317076,1
46,-0.8290000000000001,0.044715569704554814,0
47,-0.8290000000000001,0.019440200867553842,2
48,-0.8290000000000001,52.80241020763301,0
49,-0.8290000000000001,2.339917701663335,1
