Index,C,Score,gamma
73,20.0,0.8533333333333333,0.74
74,20.0,0.8533333333333333,0.75
75,20.0,0.8533333333333333,0.76
76,20.0,0.8533333333333333,0.77
77,20.0,0.8533333333333333,0.78
78,20.0,0.8533333333333333,0.79
79,20.0,0.8533333333333333,0.8
80,20.0,0.8533333333333333,0.81
81,20.0,0.8533333333333333,0.8200000000000001
82,20.0,0.8533333333333333,0.8300000000000001
83,20.0,0.8533333333333333,0.8400000000000001
84,20.0,0.8533333333333333,0.85
85,20.0,0.8613333333333333,0.86
86,20.0,0.8613333333333333,0.87
87,20.0,0.8613333333333333,0.88
88,20.0,0.8613333333333333,0.89
89,20.0,0.8613333333333333,0.9
90,20.0,0.8613333333333333,0.91
91,20.0,0.8613333333333333,0.92
92,20.0,0.8613333333333333,0.93
93,20.0,0.8613333333333333,0.9400000000000001
94,20.0,0.8613333333333333,0.9500000000000001
95,20.0,0.8613333333333333,0.9600000000000001
96,20.0,0.8613333333333333,0.97
97,20.0,0.8613333333333333,0.98
98,20.0,0.853,0.99
99,20.0,0.853,1.0
100,29.8989898989899,0.7733333333333333,0.01
101,29.8989898989899,0.8373333333333333,0.02
102,29.8989898989899,0.8536666666666667,0.03
103,29.8989898989899,0.8373333333333333,0.04
104,29.8989898989899,0.8213333333333332,0.05
105,29.8989898989899,0.8373333333333333,0.060000000000000005
106,29.8989898989899,0.8370000000000001,0.06999999999999999
107,29.8989898989899,0.8203333333333334,0.08
108,29.8989898989899,0.8286666666666667,0.09
109,29.8989898989899,0.8286666666666667,0.09999999999999999
110,29.8989898989899,0.8286666666666667,0.11
111,29.8989898989899,0.8616666666666667,0.12
112,29.8989898989899,0.8616666666666667,0.13
113,29.8989898989899,0.8703333333333333,0.14
114,29.8989898989899,0.8623333333333333,0.15000000000000002
115,29.8989898989899,0.8539999999999999,0.16
116,29.8989898989899,0.8539999999999999,0.17
117,29.8989898989899,0.8293333333333333,0.18000000000000002
118,29.8989898989899,0.8293333333333333,0.19
119,29.8989898989899,0.8293333333333333,0.2
120,29.8989898989899,0.8293333333333333,0.21000000000000002
121,29.8989898989899,0.8293333333333333,0.22
122,29.8989898989899,0.8293333333333333,0.23
123,29.8989898989899,0.8376666666666667,0.24000000000000002
124,29.8989898989899,0.8456666666666667,0.25
125,29.8989898989899,0.8456666666666667,0.26
126,29.8989898989899,0.8456666666666667,0.27
127,29.8989898989899,0.8456666666666667,0.28
128,29.8989898989899,0.8456666666666667,0.29000000000000004
129,29.8989898989899,0.8536666666666667,0.3
130,29.8989898989899,0.8536666666666667,0.31
131,29.8989898989899,0.8536666666666667,0.32
132,29.8989898989899,0.8536666666666667,0.33
133,29.8989898989899,0.8536666666666667,0.34
134,29.8989898989899,0.8536666666666667,0.35000000000000003
135,29.8989898989899,0.8453333333333333,0.36000000000000004
136,29.8989898989899,0.8453333333333333,0.37
137,29.8989898989899,0.8373333333333333,0.38
138,29.8989898989899,0.8456666666666667,0.39
139,29.8989898989899,0.8456666666666667,0.4
140,29.8989898989899,0.8453333333333333,0.41000000000000003
141,29.8989898989899,0.8453333333333333,0.42000000000000004
142,29.8989898989899,0.8453333333333333,0.43
143,29.8989898989899,0.8453333333333333,0.44
144,29.8989898989899,0.8370000000000001,0.45
145,29.8989898989899,0.8370000000000001,0.46
146,29.8989898989899,0.8370000000000001,0.47000000000000003
147,29.8989898989899,0.8370000000000001,0.48000000000000004
148,29.8989898989899,0.8370000000000001,0.49
149,29.8989898989899,0.8370000000000001,0.5
150,29.8989898989899,0.829,0.51
151,29.8989898989899,0.829,0.52
152,29.8989898989899,0.829,0.53
153,29.8989898989899,0.829,0.54
154,29.8989898989899,0.8370000000000001,0.55
155,29.8989898989899,0.8370000000000001,0.56
156,29.8989898989899,0.8370000000000001,0.5700000000000001
157,29.8989898989899,0.8370000000000001,0.5800000000000001
158,29.8989898989899,0.8370000000000001,0.59
159,29.8989898989899,0.8370000000000001,0.6
160,29.8989898989899,0.8370000000000001,0.61
161,29.8989898989899,0.8370000000000001,0.62
162,29.8989898989899,0.8370000000000001,0.63
163,29.8989898989899,0.845,0.64
164,29.8989898989899,0.845,0.65
165,29.8989898989899,0.845,0.66
166,29.8989898989899,0.845,0.67
167,29.8989898989899,0.845,0.68
168,29.8989898989899,0.845,0.6900000000000001
169,29.8989898989899,0.845,0.7000000000000001
170,29.8989898989899,0.845,0.7100000000000001
171,29.8989898989899,0.845,0.72
172,29.8989898989899,0.8533333333333333,0.73
173,29.8989898989899,0.8533333333333333,0.74
174,29.8989898989899,0.8533333333333333,0.75
175,29.8989898989899,0.8533333333333333,0.76
176,29.8989898989899,0.8533333333333333,0.77
177,29.8989898989899,0.8533333333333333,0.78
178,29.8989898989899,0.8533333333333333,0.79
179,29.8989898989899,0.8533333333333333,0.8
180,29.8989898989899,0.8533333333333333,0.81
181,29.8989898989899,0.8533333333333333,0.8200000000000001
182,29.8989898989899,0.8533333333333333,0.8300000000000001
183,29.8989898989899,0.8533333333333333,0.8400000000000001
184,29.8989898989899,0.8533333333333333,0.85
185,29.8989898989899,0.8613333333333333,0.86
186,29.8989898989899,0.8613333333333333,0.87
187,29.8989898989899,0.8613333333333333,0.88
188,29.8989898989899,0.8613333333333333,0.89
189,29.8989898989899,0.8613333333333333,0.9
190,29.8989898989899,0.8613333333333333,0.91
191,29.8989898989899,0.8613333333333333,0.92
192,29.8989898989899,0.8613333333333333,0.93
193,29.8989898989899,0.8613333333333333,0.9400000000000001
194,29.8989898989899,0.8613333333333333,0.9500000000000001
195,29.8989898989899,0.8613333333333333,0.9600000000000001
196,29.8989898989899,0.8613333333333333,0.97
197,29.8989898989899,0.8613333333333333,0.98
198,29.8989898989899,0.853,0.99
199,29.8989898989899,0.853,1.0
200,39.7979797979798,0.8220000000000001,0.01
201,39.7979797979798,0.8373333333333333,0.02
202,39.7979797979798,0.8536666666666667,0.03
203,39.7979797979798,0.8293333333333333,0.04
204,39.7979797979798,0.8373333333333333,0.05
205,39.7979797979798,0.8203333333333334,0.060000000000000005
206,39.7979797979798,0.8036666666666668,0.06999999999999999
207,39.7979797979798,0.8206666666666667,0.08
208,39.7979797979798,0.8286666666666667,0.09
209,39.7979797979798,0.8533333333333333,0.09999999999999999
210,39.7979797979798,0.8780000000000001,0.11
211,39.7979797979798,0.8620000000000001,0.12
212,39.7979797979798,0.8623333333333333,0.13
213,39.7979797979798,0.8539999999999999,0.14
214,39.7979797979798,0.8619999999999999,0.15000000000000002
215,39.7979797979798,0.8619999999999999,0.16
216,39.7979797979798,0.8456666666666667,0.17
217,39.7979797979798,0.8373333333333333,0.18000000000000002
218,39.7979797979798,0.8376666666666667,0.19
219,39.7979797979798,0.8376666666666667,0.2
220,39.7979797979798,0.8376666666666667,0.21000000000000002
221,39.7979797979798,0.8376666666666667,0.22
222,39.7979797979798,0.8293333333333333,0.23
223,39.7979797979798,0.8376666666666667,0.24000000000000002
224,39.7979797979798,0.8456666666666667,0.25
225,39.7979797979798,0.8456666666666667,0.26
226,39.7979797979798,0.8456666666666667,0.27
227,39.7979797979798,0.8456666666666667,0.28
