Index,Score,Std,estimator__C,estimator__degree,estimator__epsilon,estimator__gamma
0,0.8964002191769872,0.003943099704363594,1,1,0.001,1
1,0.896400339502603,0.0039628441582807514,1,1,0.1,1
2,0.8963621835151466,0.003980613636530338,1,1,0.01,1
