Index,Score,Std,estimator__C,estimator__degree,estimator__epsilon,estimator__gamma
0,0.837960909762983,0.022069652158095553,0.01,3,0.1,0.4
1,0.8406517091012512,0.02191096475065138,0.01,3,0.1,0.459479341998814
2,0.843180715003174,0.022319183574789545,0.01,3,0.1,0.5278031643091576
3,0.8452693361160767,0.022226050035738947,0.01,3,0.1,0.6062866266041593
4,0.8470976425952174,0.020469637486208364,0.01,3,0.1,0.6964404506368993
5,0.8479229106936537,0.018210540721608173,0.01,3,0.1,0.8
6,0.8401645252839485,0.02196322689573696,0.01379729661461215,3,0.1,0.4
7,0.8424567796593149,0.022365753777076263,0.01379729661461215,3,0.1,0.459479341998814
8,0.8447648982617302,0.022233875131765564,0.01379729661461215,3,0.1,0.5278031643091576
9,0.8468482989291486,0.02068095150465777,0.01379729661461215,3,0.1,0.6062866266041593
10,0.8478985980692102,0.01903483178951492,0.01379729661461215,3,0.1,0.6964404506368993
11,0.8483313609032583,0.016042297138644322,0.01379729661461215,3,0.1,0.8
12,0.8419904020128668,0.02185751892259253,0.019036539387158782,3,0.1,0.4
13,0.8445303785161642,0.02197426026258974,0.019036539387158782,3,0.1,0.459479341998814
14,0.8466785945436826,0.020640344219424983,0.019036539387158782,3,0.1,0.5278031643091576
15,0.8478895382532763,0.019480611081497772,0.019036539387158782,3,0.1,0.6062866266041593
16,0.8480414655823475,0.0167010261587032,0.019036539387158782,3,0.1,0.6964404506368993
17,0.8479230700622253,0.0150201441159584,0.019036539387158782,3,0.1,0.8
18,0.8442503361225429,0.021665298804021148,0.026265278044037672,3,0.1,0.4
19,0.8463417766846595,0.02094912958613767,0.026265278044037672,3,0.1,0.459479341998814
20,0.8479013776535705,0.01952447891950685,0.026265278044037672,3,0.1,0.5278031643091576
21,0.847972648830361,0.017194391732058913,0.026265278044037672,3,0.1,0.6062866266041593
22,0.8479749581967055,0.01536911469182541,0.026265278044037672,3,0.1,0.6964404506368993
23,0.8464909507413225,0.015608869252578546,0.026265278044037672,3,0.1,0.8
24,0.8455898776075742,0.02193502219633791,0.036238983183884764,3,0.1,0.4
25,0.8473831053231573,0.020170646186242706,0.036238983183884764,3,0.1,0.459479341998814
26,0.8478672530924427,0.017980100585341042,0.036238983183884764,3,0.1,0.5278031643091576
27,0.8480330652176675,0.015673092815854703,0.036238983183884764,3,0.1,0.6062866266041593
28,0.8470058941272169,0.015502599299612667,0.036238983183884764,3,0.1,0.6964404506368993
29,0.8453030468456039,0.015460363827776597,0.036238983183884764,3,0.1,0.8
30,0.8469303186379505,0.02062728534148266,0.049999999999999996,3,0.1,0.4
31,0.8479126955448593,0.018781072100122833,0.049999999999999996,3,0.1,0.459479341998814
32,0.8483789331317533,0.01575222167144251,0.049999999999999996,3,0.1,0.5278031643091576
33,0.8473541874695222,0.015175386480778399,0.049999999999999996,3,0.1,0.6062866266041593
34,0.8455890921253604,0.015549061918248862,0.049999999999999996,3,0.1,0.6964404506368993
35,0.8433161167378621,0.01589772544327265,0.049999999999999996,3,0.1,0.8
