Index,Score,Std Dev,estimator__C,estimator__epsilon,estimator__gamma
0,0.9589903960265038,0.0028528744405140094,2.0,0.1,0.05
1,0.9613483451156334,0.002751755265440851,2.0,0.1,0.07500000000000001
2,0.9623694644305043,0.0029312127806176394,2.0,0.1,0.1
3,0.9627332009234237,0.0031748983496298505,2.0,0.1,0.125
4,0.9626048972523344,0.003610427343010238,2.0,0.1,0.15000000000000002
5,0.9620899443247714,0.004077656392050969,2.0,0.1,0.17500000000000004
6,0.9611425383796812,0.0044705134559512895,2.0,0.1,0.2
7,0.9626222972644415,0.002823488794911875,6.666666666666667,0.1,0.05
8,0.9649983456083641,0.002365868888747605,6.666666666666667,0.1,0.07500000000000001
9,0.9660969721508155,0.002507035757857413,6.666666666666667,0.1,0.1
10,0.966876109504387,0.002808852905023123,6.666666666666667,0.1,0.125
11,0.9671206492526236,0.0031865570601263557,6.666666666666667,0.1,0.15000000000000002
12,0.9670590672489174,0.0033776732036096507,6.666666666666667,0.1,0.17500000000000004
13,0.9666695750372665,0.0034781253008250436,6.666666666666667,0.1,0.2
14,0.9637192206202252,0.002621772218279053,11.333333333333334,0.1,0.05
15,0.9656672555022487,0.002384445975159309,11.333333333333334,0.1,0.07500000000000001
16,0.9670175134664849,0.00246056177102448,11.333333333333334,0.1,0.1
17,0.9673672386128243,0.0029348144436705725,11.333333333333334,0.1,0.125
18,0.9675459700556243,0.0031424823016695854,11.333333333333334,0.1,0.15000000000000002
19,0.9673273363014333,0.0033124395510768425,11.333333333333334,0.1,0.17500000000000004
20,0.9671018314257547,0.0035799695049075126,11.333333333333334,0.1,0.2
21,0.964271093455285,0.0025141270875382064,16.0,0.1,0.05
22,0.9660721855564682,0.0024377142667803718,16.0,0.1,0.07500000000000001
23,0.9672832270409352,0.002553729763479728,16.0,0.1,0.1
24,0.9674362115494965,0.0031056651785767156,16.0,0.1,0.125
25,0.9674945256848237,0.0032491913239009245,16.0,0.1,0.15000000000000002
26,0.9673959748098637,0.0033985230937930923,16.0,0.1,0.17500000000000004
27,0.9671862911667055,0.003521368846756982,16.0,0.1,0.2
28,0.9645294221848877,0.0024274981312084973,20.666666666666668,0.1,0.05
29,0.9664608480744338,0.002398959788653513,20.666666666666668,0.1,0.07500000000000001
30,0.9671437690338436,0.002778741745009488,20.666666666666668,0.1,0.1
31,0.9674266090872556,0.0032400482282486025,20.666666666666668,0.1,0.125
32,0.9673413317157799,0.003326317692817258,20.666666666666668,0.1,0.15000000000000002
33,0.9673675685693585,0.0034005016841746932,20.666666666666668,0.1,0.17500000000000004
34,0.9667306326301105,0.0035415102594561483,20.666666666666668,0.1,0.2
35,0.9647923935681273,0.0024152990371494204,25.333333333333336,0.1,0.05
36,0.9666854974126717,0.0023441602633681026,25.333333333333336,0.1,0.07500000000000001
37,0.9669511795811954,0.0030290459900422944,25.333333333333336,0.1,0.1
38,0.9672395200534813,0.003342954716736355,25.333333333333336,0.1,0.125
39,0.9672395420623452,0.003377750917227028,25.333333333333336,0.1,0.15000000000000002
40,0.966974539062775,0.003451277230412041,25.333333333333336,0.1,0.17500000000000004
41,0.9660278615004124,0.0036168024660513517,25.333333333333336,0.1,0.2
42,0.9649648114173901,0.0023964129118445076,30.0,0.1,0.05
43,0.9667189240959333,0.002381314480116218,30.0,0.1,0.07500000000000001
44,0.9668511404304496,0.0032565824565724166,30.0,0.1,0.1
45,0.9670254117742493,0.0034120738112827023,30.0,0.1,0.125
46,0.967105004955604,0.003418234358894101,30.0,0.1,0.15000000000000002
47,0.9664185776113857,0.0035486146250792152,30.0,0.1,0.17500000000000004
48,0.9652805711050745,0.003606818310280095,30.0,0.1,0.2
