Index,Score,Std Dev,activation,batch_size,decay_rate,epochs,loss_function,lr,mom
0,2.1602957248687744,0,0,0,0.010630490066004587,0,0,0.012999022572740623,0.21719000014606027
1,1.8438286781311035,0,0,0,0.07046390468648325,0,0,0.02297722539152256,0.06781165345165585
2,3.3139705657958984,0,0,0,0.0073653655460618195,0,0,0.0005380730782554638,0.3209127630114084
3,1.604395866394043,0,0,0,0.0022235130515223384,0,0,0.0053052896995810245,0.16303086149068152
4,,0,0,0,0.001567093451677811,0,0,0.03019701559097071,0.8379970111111502
5,1.9500699043273926,0,0,0,0.06702460703222943,0,0,0.000976106073688303,0.9395441869976795
6,,0,0,0,0.00013188548472331654,0,0,0.03457285310331925,0.08394876293946385
7,1.5269501209259033,0,0,0,0.00019699611424428773,0,0,0.0013649660552019444,0.6839844012292899
8,,0,0,0,0.05554901361219098,0,0,0.08150193102837604,0.7460365933178761
9,2.1746551990509033,0,0,0,0.004718110633730776,0,0,0.0011671036297772415,0.17200277821737986
10,1.528340458869934,0,0,0,0.0015011134258901347,0,0,0.008610737563966122,0.595317088674523
11,1.6664776802062988,0,0,0,0.012738571989552703,0,0,0.002104398445160838,0.7960884817696499
12,1.6178665161132812,0,0,0,0.0003154004299652648,0,0,0.001203588898367659,0.7309557585382347
13,1.8199597597122192,0,0,0,0.0003201853140340573,0,0,0.005197477844040545,0.11192360135161859
14,2.0287342071533203,0,0,0,0.05325592160154856,0,0,0.0018216922889955902,0.9027776892783995
15,1.860114336013794,0,0,0,0.02537003157398215,0,0,0.0011555218599986663,0.9279243383763758
16,2.738266944885254,0,0,0,0.030336354486700214,0,0,0.003076318826514365,0.11374566184940167
17,,0,0,0,0.003560817118625439,0,0,0.02479102204896877,0.8224729065233107
18,1.8945714235305786,0,0,0,0.08142100460436746,0,0,0.014483319401736762,0.09584687868565404
19,42.742431640625,0,0,0,0.006142776910244214,0,0,0.009246138209437014,0.7715631583264286
20,,0,0,0,0.0038644819096500214,0,0,0.050347303961140843,0.8943656955357507
21,,0,0,0,0.0033826347594896455,0,0,0.06530508155603366,0.32109800829802887
22,10.411576271057129,0,0,0,0.03040911736177177,0,0,0.007638639970968742,0.8857461712058605
23,,0,0,0,0.0005209728260551284,0,0,0.08033600696491683,0.8899944900214137
24,1.8287817239761353,0,0,0,0.06072971174770507,0,0,0.004451960304710404,0.8726191474113749
25,,0,0,0,0.033780006495195726,0,0,0.030543882679621513,0.24823769040814925
26,1.5997366905212402,0,0,0,0.00031053085148281313,0,0,0.0015338174367033597,0.48754168165248535
