Index,Score,Std Dev,activation,batch_size,decay_rate,epochs,loss_function,lr,mom
0,1.325156569480896,0,0,0,0.00019002435665140774,0,0,0.009508893927067592,0.5802447871921491
1,,0,0,0,0.00040306939873369237,0,0,0.013447718444575972,0.2075286317016088
2,2.4732613563537598,0,0,0,0.04235437627866058,0,0,0.0029930252103526032,0.40808374037829925
3,1.3375418186187744,0,0,0,0.0019913502037413105,0,0,0.0024501296695567092,0.7969692468888545
4,1.6094192266464233,0,0,0,0.002699271941939377,0,0,0.000580493044297809,0.7158314809199402
5,2.0397891998291016,0,0,0,0.002223894972463189,0,0,0.000569702963721381,0.26688253130775047
6,1.5011825561523438,0,0,0,0.0025757365804494657,0,0,0.006003423851124397,0.38254069109971084
7,,0,0,0,0.0022680485694370704,0,0,0.02084985865770088,0.9293316354296584
8,1.502879023551941,0,0,0,0.0007455589241431552,0,0,0.00203171909172726,0.2589935031759754
9,1.92295503616333,0,0,0,0.001537332310921791,0,0,0.0005775452926085195,0.18355306499133803
10,,0,0,0,0.04766227720457544,0,0,0.08880338338501187,0.875949594228708
11,1.5102993249893188,0,0,0,0.000513983390012556,0,0,0.002880693992257864,0.046506458919642876
12,,0,0,0,0.00027111287949742124,0,0,0.009021725960654516,0.8470482475195298
13,,0,0,0,0.00031666031286636733,0,0,0.034921415293666803,0.5462535672998395
14,2.059657335281372,0,0,0,0.03945604521518889,0,0,0.003344309920332015,0.6303726376274734
15,,0,0,0,0.0021469506929218817,0,0,0.022229054781625,0.022644454031188137
16,1.3660669326782227,0,0,0,0.0009438187165501384,0,0,0.0015759958385330667,0.7855364155346309
17,1.4085907936096191,0,0,0,0.0005386453023137859,0,0,0.001333862608108725,0.8321930949043802
18,1.568145751953125,0,0,0,0.0021204533493491056,0,0,0.002519859528963687,0.3233613811520755
19,1.5378433465957642,0,0,0,0.0001349181875880509,0,0,0.0013605720920547076,0.1903244076572544
20,1.5713891983032227,0,0,0,0.00016028429171885533,0,0,0.0006802634976866337,0.38276525749156876
21,1.4968050718307495,0,0,0,0.0018423067034326627,0,0,0.0021596086148240197,0.6584773627599196
22,,0,0,0,0.0009366830570813315,0,0,0.01511096832973753,0.4922149537093703
23,,0,0,0,0.0011973687142012713,0,0,0.07384450883069316,0.8722331080877752
24,1.4909112453460693,0,0,0,0.002796422498619024,0,0,0.0040451148957560195,0.33286738140778316
25,1.5847243070602417,0,0,0,0.0009381874170576013,0,0,0.0013756862495788633,0.13443161104173687
26,3.1744072437286377,0,0,0,0.00809531937797136,0,0,0.0007487612834981201,0.0555297494694858
27,1.5705316066741943,0,0,0,0.007215383099379262,0,0,0.0036778390526239738,0.43505458337322045
28,,0,0,0,0.00025271014360023415,0,0,0.02210088309721532,0.5757231959830508
29,,0,0,0,0.00025100693587565173,0,0,0.022653954015482296,0.9363221225839631
30,,0,0,0,0.00024235425133065585,0,0,0.03247961997521085,0.5389983952469175
31,,0,0,0,0.0002374211616243679,0,0,0.021726212511641602,0.9853784904683184
32,,0,0,0,0.00032852536309767495,0,0,0.025699589525017243,0.9228981498967292
33,,0,0,0,0.00027161622726339595,0,0,0.021780602188139233,0.9546475512715019
34,,0,0,0,0.0002670115430097726,0,0,0.025232464149033247,0.9471364395459905
35,,0,0,0,0.00026212032041480674,0,0,0.023682437228812248,0.9335468051996784
36,,0,0,0,0.00031197780326420674,0,0,0.024994376915249684,0.9732198693191885
37,,0,0,0,0.0002532323630955553,0,0,0.021634877204715658,0.968775277026774
38,,0,0,0,0.00028257151185322063,0,0,0.02059479450030507,0.9326612313186506
39,,0,0,0,0.00028117220502511255,0,0,0.02746273440473882,0.9180457403179069
40,,0,0,0,0.008187348405953577,0,0,0.027964632260920573,0.9750894166342732
41,,0,0,0,0.0002693720207400636,0,0,0.020371399856239366,0.9847592380007957
42,,0,0,0,0.00026354791044828733,0,0,0.023558696082170382,0.9571167359852613
43,,0,0,0,0.0002925408031757343,0,0,0.02415008525569684,0.9889023360309974
44,,0,0,0,0.0002778615913150508,0,0,0.024353173633305036,0.9621803334026284
45,,0,0,0,0.0002505872123879208,0,0,0.02128188448919743,0.9881071140773775
46,,0,0,0,0.0002572672406722594,0,0,0.020827006039038337,0.9810529845354246
47,,0,0,0,0.00028420842519392563,0,0,0.021889861665690125,0.9338349700715711
48,,0,0,0,0.00025095873801869316,0,0,0.017415095417875524,0.974288098941773
49,,0,0,0,0.00026948900774913194,0,0,0.026889929752917565,0.9675990522434721
50,,0,0,0,0.000246192119666517,0,0,0.023440046979909333,0.9777111685423723
51,,0,0,0,0.00025146773085711377,0,0,0.025320294194396045,0.9807238182234003
52,,0,0,0,0.00030149651793469546,0,0,0.020955714646969124,0.964248911729467
53,,0,0,0,0.0002393329223617265,0,0,0.020039343771174157,0.5414542454843361
54,,0,0,0,0.00026576631308116984,0,0,0.021880092509664675,0.9613674847528618
55,,0,0,0,0.0002882844289244291,0,0,0.021081201951017772,0.9382169418726614
56,,0,0,0,0.0002742059020155765,0,0,0.02179719427189186,0.8958523488442125
57,,0,0,0,0.000286684529535837,0,0,0.029979718879989216,0.9480555908684729
58,,0,0,0,0.0002577654699155578,0,0,0.020583466554279686,0.9759131633204614
59,,0,0,0,0.00031598456019834247,0,0,0.017938594373655057,0.9550698437990561
60,,0,0,0,0.00028031781005527734,0,0,0.022327008869393726,0.5428074977009798
61,,0,0,0,0.00024353601184443486,0,0,0.02064502372090019,0.9230053884094743
62,,0,0,0,0.00022570841190291277,0,0,0.018802189874319374,0.9386921115964993
63,,0,0,0,0.0002384348616125099,0,0,0.020476825877961125,0.9589239203711354
64,,0,0,0,0.00022693003014980095,0,0,0.020465618330352913,0.9591443990823698
65,,0,0,0,0.0002452386387211552,0,0,0.02917783747627226,0.9858187735988584
66,,0,0,0,0.008427314860096615,0,0,0.02232044750630761,0.9585498587288583
67,,0,0,0,0.0002384272439042233,0,0,0.023180187721600798,0.9513426083387366
68,,0,0,0,0.00026071464077922346,0,0,0.02493866748169802,0.9245046385173882
69,,0,0,0,0.0002640100296953987,0,0,0.025878112382752,0.9876239293309236
70,,0,0,0,0.00025565916370532836,0,0,0.020597464900391455,0.9392984499983776
71,,0,0,0,0.00024796086825855547,0,0,0.021778459969453504,0.9400592408776088
72,,0,0,0,0.00025922279128790074,0,0,0.021553055412885415,0.9467846440539345
73,,0,0,0,0.00027108111662135575,0,0,0.021976632593744844,0.9781381228731321
74,,0,0,0,0.0002681069214617915,0,0,0.03360167337524627,0.9780435159930075
