Index,Score,Std Dev,bootstrap,max_features,min_samples_split,n_estimators
0,0.9705244364541612,0.004434286999576701,True,auto,2,100
1,0.9704026170344404,0.004621450784249011,True,auto,2,164
2,0.9705507544321239,0.004635941125067407,True,auto,2,271
3,0.9708463009296031,0.004313023602612602,True,auto,2,447
4,0.9704118812856952,0.004576271497858306,True,auto,2,736
5,0.9706951189658752,0.004484953178900346,True,auto,2,1213
6,0.9706506769977695,0.004476649503061955,True,auto,2,2000
7,0.9753502903323661,0.002625041160881601,True,sqrt,2,100
8,0.9754556558472037,0.0029992199478984243,True,sqrt,2,164
9,0.9756810297752165,0.0024168919839040646,True,sqrt,2,271
10,0.9757124467604065,0.0026588626399162906,True,sqrt,2,447
11,0.9756481481459962,0.002589971650587797,True,sqrt,2,736
12,0.9756957355245722,0.0026189460731055347,True,sqrt,2,1213
13,0.975725975879915,0.0026123753122235947,True,sqrt,2,2000
14,0.9420362592549705,0.010004246533810733,False,auto,2,100
15,0.9417806123284324,0.010180812177818523,False,auto,2,164
16,0.9418954378100353,0.010240051525243443,False,auto,2,271
17,0.9419554189300117,0.01014071688456106,False,auto,2,447
18,0.9418916005213077,0.010023099905459201,False,auto,2,736
19,0.9419262066781506,0.010054907816500138,False,auto,2,1213
20,0.9418135675908401,0.010031043613814154,False,auto,2,2000
21,0.9773968043793511,0.002744764940326146,False,sqrt,2,100
22,0.977721240157263,0.0027290509678155614,False,sqrt,2,164
23,0.9776431619072093,0.002910272265980354,False,sqrt,2,271
24,0.9777892899093821,0.002761541739887494,False,sqrt,2,447
25,0.9778515007679204,0.0026857190938054626,False,sqrt,2,736
26,0.977779282245374,0.0027378779462211202,False,sqrt,2,1213
27,0.9777547450438202,0.0026677256614312636,False,sqrt,2,2000
