Index,C,Score,gamma
0,50.0,0.6826666666666666,0.004999999999999999
1,50.0,0.6826666666666666,0.005359389685191707
2,50.0,0.6906666666666667,0.005744611559547848
3,50.0,0.6906666666666667,0.006157522387534758
4,50.0,0.6906666666666667,0.00660011239401816
5,50.0,0.6826666666666666,0.007074514857121375
6,50.0,0.6826666666666666,0.007583016390598349
7,50.0,0.6746666666666666,0.00812806796528249
8,50.0,0.6746666666666666,0.008712296722734426
9,50.0,0.6746666666666666,0.009338518638030481
10,50.0,0.6746666666666666,0.01000975209272621
11,50.0,0.6666666666666666,0.010729232423416587
12,50.0,0.6666666666666666,0.011500427516016657
13,50.0,0.658,0.012327054520926908
14,50.0,0.6333333333333333,0.01321309776965029
15,50.0,0.6413333333333333,0.014162827979218664
16,50.0,0.6493333333333333,0.015180822836993806
17,50.0,0.6413333333333333,0.016271989065061457
18,50.0,0.6496666666666666,0.01744158607056852
19,50.0,0.65,0.018695251295997656
20,50.0,0.6253333333333333,0.02003902739156735
21,50.0,0.6256666666666666,0.02147939134072802
22,50.0,0.6173333333333333,0.023023285679138757
23,50.0,0.625,0.024678151957599644
24,50.0,0.609,0.026451966610230603
25,50.0,0.6253333333333333,0.028353279400781056
26,50.0,0.642,0.030391254632380908
27,50.0,0.642,0.03257571531936339
28,50.0,0.6503333333333333,0.03491719053406751
29,50.0,0.675,0.03742696615683097
30,50.0,0.6913333333333334,0.04011713927378781
31,50.0,0.7076666666666667,0.04300067648466751
32,50.0,0.732,0.04609147640163851
33,50.0,0.74,0.04940443664043967
34,50.0,0.748,0.05295552562669593
35,50.0,0.748,0.05676185956352384
36,50.0,0.7723333333333333,0.06084178493140999
37,50.0,0.7723333333333333,0.06521496691801017
38,50.0,0.7723333333333333,0.06990248420410042
39,50.0,0.7723333333333333,0.07492693056254639
40,50.0,0.7723333333333333,0.08031252375999728
41,50.0,0.7643333333333333,0.08608522228620864
42,50.0,0.7723333333333333,0.09227285047362838
43,50.0,0.7643333333333333,0.0989052326103201
44,50.0,0.7483333333333333,0.10601433669264722
45,50.0,0.7316666666666667,0.1136344285106028
46,50.0,0.7236666666666667,0.12180223680847584
47,50.0,0.7153333333333334,0.13055713031692456
48,50.0,0.7153333333333334,0.13994130750975095
49,50.0,0.7070000000000001,0.15
50,69.38775510204081,0.6906666666666667,0.004999999999999999
51,69.38775510204081,0.6906666666666667,0.005359389685191707
52,69.38775510204081,0.6906666666666667,0.005744611559547848
53,69.38775510204081,0.6826666666666666,0.006157522387534758
54,69.38775510204081,0.6746666666666666,0.00660011239401816
55,69.38775510204081,0.6746666666666666,0.007074514857121375
56,69.38775510204081,0.6746666666666666,0.007583016390598349
57,69.38775510204081,0.6746666666666666,0.00812806796528249
58,69.38775510204081,0.6666666666666666,0.008712296722734426
59,69.38775510204081,0.6666666666666666,0.009338518638030481
60,69.38775510204081,0.65,0.01000975209272621
61,69.38775510204081,0.6333333333333333,0.010729232423416587
62,69.38775510204081,0.6413333333333333,0.011500427516016657
63,69.38775510204081,0.6493333333333333,0.012327054520926908
64,69.38775510204081,0.6413333333333333,0.01321309776965029
65,69.38775510204081,0.6496666666666666,0.014162827979218664
66,69.38775510204081,0.642,0.015180822836993806
67,69.38775510204081,0.642,0.016271989065061457
68,69.38775510204081,0.6256666666666666,0.01744158607056852
69,69.38775510204081,0.6173333333333333,0.018695251295997656
70,69.38775510204081,0.6253333333333333,0.02003902739156735
71,69.38775510204081,0.609,0.02147939134072802
72,69.38775510204081,0.617,0.023023285679138757
73,69.38775510204081,0.642,0.024678151957599644
74,69.38775510204081,0.642,0.026451966610230603
75,69.38775510204081,0.642,0.028353279400781056
76,69.38775510204081,0.6586666666666666,0.030391254632380908
77,69.38775510204081,0.675,0.03257571531936339
78,69.38775510204081,0.7076666666666667,0.03491719053406751
79,69.38775510204081,0.7236666666666667,0.03742696615683097
80,69.38775510204081,0.74,0.04011713927378781
81,69.38775510204081,0.748,0.04300067648466751
82,69.38775510204081,0.748,0.04609147640163851
83,69.38775510204081,0.756,0.04940443664043967
84,69.38775510204081,0.756,0.05295552562669593
85,69.38775510204081,0.764,0.05676185956352384
86,69.38775510204081,0.7723333333333333,0.06084178493140999
87,69.38775510204081,0.7723333333333333,0.06521496691801017
88,69.38775510204081,0.7723333333333333,0.06990248420410042
89,69.38775510204081,0.7723333333333333,0.07492693056254639
90,69.38775510204081,0.7723333333333333,0.08031252375999728
91,69.38775510204081,0.7643333333333333,0.08608522228620864
92,69.38775510204081,0.7723333333333333,0.09227285047362838
93,69.38775510204081,0.7643333333333333,0.0989052326103201
94,69.38775510204081,0.7483333333333333,0.10601433669264722
95,69.38775510204081,0.7316666666666667,0.1136344285106028
96,69.38775510204081,0.7236666666666667,0.12180223680847584
97,69.38775510204081,0.7153333333333334,0.13055713031692456
98,69.38775510204081,0.7153333333333334,0.13994130750975095
99,69.38775510204081,0.7070000000000001,0.15
100,88.77551020408163,0.6906666666666667,0.004999999999999999
101,88.77551020408163,0.6906666666666667,0.005359389685191707
102,88.77551020408163,0.6746666666666666,0.005744611559547848
103,88.77551020408163,0.6746666666666666,0.006157522387534758
104,88.77551020408163,0.6746666666666666,0.00660011239401816
105,88.77551020408163,0.6746666666666666,0.007074514857121375
106,88.77551020408163,0.6666666666666666,0.007583016390598349
107,88.77551020408163,0.6666666666666666,0.00812806796528249
108,88.77551020408163,0.65,0.008712296722734426
109,88.77551020408163,0.6333333333333333,0.009338518638030481
110,88.77551020408163,0.6413333333333333,0.01000975209272621
111,88.77551020408163,0.6413333333333333,0.010729232423416587
112,88.77551020408163,0.6413333333333333,0.011500427516016657
113,88.77551020408163,0.6496666666666666,0.012327054520926908
114,88.77551020408163,0.642,0.01321309776965029
115,88.77551020408163,0.65,0.014162827979218664
116,88.77551020408163,0.6173333333333333,0.015180822836993806
117,88.77551020408163,0.6173333333333333,0.016271989065061457
118,88.77551020408163,0.6173333333333333,0.01744158607056852
119,88.77551020408163,0.609,0.018695251295997656
120,88.77551020408163,0.609,0.02003902739156735
121,88.77551020408163,0.6336666666666666,0.02147939134072802
122,88.77551020408163,0.642,0.023023285679138757
123,88.77551020408163,0.642,0.024678151957599644
124,88.77551020408163,0.6586666666666666,0.026451966610230603
125,88.77551020408163,0.675,0.028353279400781056
126,88.77551020408163,0.7156666666666667,0.030391254632380908
127,88.77551020408163,0.7236666666666667,0.03257571531936339
128,88.77551020408163,0.74,0.03491719053406751
129,88.77551020408163,0.748,0.03742696615683097
130,88.77551020408163,0.748,0.04011713927378781
131,88.77551020408163,0.756,0.04300067648466751
132,88.77551020408163,0.756,0.04609147640163851
133,88.77551020408163,0.756,0.04940443664043967
134,88.77551020408163,0.756,0.05295552562669593
135,88.77551020408163,0.764,0.05676185956352384
136,88.77551020408163,0.7723333333333333,0.06084178493140999
137,88.77551020408163,0.7723333333333333,0.06521496691801017
138,88.77551020408163,0.7723333333333333,0.06990248420410042
139,88.77551020408163,0.7723333333333333,0.07492693056254639
140,88.77551020408163,0.7723333333333333,0.08031252375999728
141,88.77551020408163,0.7643333333333333,0.08608522228620864
142,88.77551020408163,0.7723333333333333,0.09227285047362838
143,88.77551020408163,0.7643333333333333,0.0989052326103201
144,88.77551020408163,0.7483333333333333,0.10601433669264722
145,88.77551020408163,0.7316666666666667,0.1136344285106028
146,88.77551020408163,0.7236666666666667,0.12180223680847584
147,88.77551020408163,0.7153333333333334,0.13055713031692456
148,88.77551020408163,0.7153333333333334,0.13994130750975095
149,88.77551020408163,0.7070000000000001,0.15
150,108.16326530612245,0.6746666666666666,0.004999999999999999
151,108.16326530612245,0.6746666666666666,0.005359389685191707
152,108.16326530612245,0.6746666666666666,0.005744611559547848
153,108.16326530612245,0.6746666666666666,0.006157522387534758
154,108.16326530612245,0.6666666666666666,0.00660011239401816
155,108.16326530612245,0.6666666666666666,0.007074514857121375
156,108.16326530612245,0.642,0.007583016390598349
157,108.16326530612245,0.6333333333333333,0.00812806796528249
158,108.16326530612245,0.6413333333333333,0.008712296722734426
159,108.16326530612245,0.6413333333333333,0.009338518638030481
160,108.16326530612245,0.6413333333333333,0.01000975209272621
161,108.16326530612245,0.6496666666666666,0.010729232423416587
162,108.16326530612245,0.65,0.011500427516016657
163,108.16326530612245,0.634,0.012327054520926908
164,108.16326530612245,0.6256666666666666,0.01321309776965029
165,108.16326530612245,0.6256666666666666,0.014162827979218664
166,108.16326530612245,0.6173333333333333,0.015180822836993806
167,108.16326530612245,0.617,0.016271989065061457
168,108.16326530612245,0.609,0.01744158607056852
169,108.16326530612245,0.617,0.018695251295997656
170,108.16326530612245,0.642,0.02003902739156735
171,108.16326530612245,0.642,0.02147939134072802
