Index,C,Score,coef0,degree,gamma
0,0.464158883361278,0.6346666666666667,2,1,278.2559402207126
1,5.994842503189409,0.6346666666666667,2,1,21.544346900318846
2,77.42636826811278,0.7963333333333333,1,2,0.464158883361278
3,1.6681005372000592,0.641,1,3,0.03593813663804628
4,21.544346900318846,0.764,3,3,0.1291549665014884
5,0.464158883361278,0.7883333333333333,3,2,278.2559402207126
6,77.42636826811278,0.6346666666666667,1,1,77.42636826811278
7,77.42636826811278,0.6506666666666667,3,2,0.03593813663804628
8,77.42636826811278,0.764,3,3,0.03593813663804628
9,1.6681005372000592,0.683,1,3,0.1291549665014884
10,77.42636826811278,0.7883333333333333,1,3,0.1291549665014884
11,1.6681005372000592,0.674,1,3,77.42636826811278
12,1.6681005372000592,0.7883333333333333,2,2,1000.0
13,5.994842503189409,0.6746666666666666,3,3,0.01
14,0.01,0.674,3,3,278.2559402207126
15,5.994842503189409,0.7883333333333333,1,2,5.994842503189409
16,0.464158883361278,0.6833333333333333,1,2,0.464158883361278
17,77.42636826811278,0.6826666666666666,2,1,0.03593813663804628
18,0.1291549665014884,0.6266666666666667,3,1,278.2559402207126
19,278.2559402207126,0.6746666666666666,2,1,0.01
20,5.994842503189409,0.7963333333333333,1,2,0.464158883361278
21,1000.0,0.6266666666666667,2,1,5.994842503189409
22,1000.0,0.674,1,3,278.2559402207126
23,1.6681005372000592,0.6346666666666667,1,1,1000.0
24,0.464158883361278,0.6826666666666666,3,3,0.03593813663804628
25,0.01,0.568,1,1,0.1291549665014884
26,1.6681005372000592,0.6343333333333333,3,1,0.01
27,1000.0,0.7963333333333333,1,2,0.464158883361278
28,0.03593813663804628,0.6746666666666666,2,1,278.2559402207126
29,0.01,0.5996666666666667,2,2,0.464158883361278
30,5.994842503189409,0.7803333333333333,3,2,5.994842503189409
31,21.544346900318846,0.674,3,3,21.544346900318846
32,0.1291549665014884,0.7883333333333333,3,2,21.544346900318846
33,0.464158883361278,0.6746666666666666,3,1,21.544346900318846
34,0.03593813663804628,0.7883333333333333,1,2,77.42636826811278
35,0.1291549665014884,0.6006666666666667,2,2,0.03593813663804628
36,1000.0,0.6346666666666667,1,1,0.464158883361278
37,1000.0,0.6423333333333333,3,2,0.01
38,21.544346900318846,0.65,3,3,0.01
39,5.994842503189409,0.6746666666666666,2,1,0.1291549665014884
40,0.01,0.568,3,1,0.1291549665014884
41,77.42636826811278,0.772,1,2,0.1291549665014884
42,5.994842503189409,0.674,1,3,77.42636826811278
43,0.1291549665014884,0.6746666666666666,1,1,77.42636826811278
44,1000.0,0.674,1,3,1000.0
45,0.01,0.625,3,1,21.544346900318846
46,0.01,0.6343333333333333,3,1,1.6681005372000592
47,0.01,0.568,2,2,0.1291549665014884
48,5.994842503189409,0.7883333333333333,2,3,0.464158883361278
49,0.464158883361278,0.674,1,3,77.42636826811278
