Index,C,Score,coef0,degree,gamma
0,5.000000000000001,0.649,0.0,1,0.025000000000000005
1,5.000000000000001,0.633,0.0,1,0.028927755932068
2,5.000000000000001,0.6663333333333334,0.0,1,0.033472602530611816
3,5.000000000000001,0.609,0.0,1,0.0387314910566664
4,5.000000000000001,0.625,0.0,1,0.0448166048068928
5,5.000000000000001,0.6336666666666667,0.0,1,0.051857752222309594
6,5.000000000000001,0.658,0.0,1,0.06000513597890514
7,5.000000000000001,0.6666666666666666,0.0,1,0.06943255713073282
8,5.000000000000001,0.6746666666666666,0.0,1,0.08034112265668825
9,5.000000000000001,0.6746666666666666,0.0,1,0.0929635355008406
10,5.000000000000001,0.6746666666666666,0.0,1,0.10756905862201824
11,5.000000000000001,0.6746666666666666,0.0,1,0.12446925894640233
12,5.000000000000001,0.6746666666666666,0.0,1,0.14402465375387588
13,5.000000000000001,0.6746666666666666,0.0,1,0.16665240127970884
14,5.000000000000001,0.6746666666666666,0.0,1,0.19283519958849898
15,5.000000000000001,0.6826666666666666,0.0,1,0.22313158355230872
16,5.000000000000001,0.6826666666666666,0.0,1,0.25818783958948094
17,5.000000000000001,0.6826666666666666,0.0,1,0.298751792330897
18,5.000000000000001,0.6826666666666666,0.0,1,0.34568875731264204
19,5.000000000000001,0.6826666666666666,0.0,1,0.4
20,5.000000000000001,0.6260000000000001,0.0,2,0.025000000000000005
21,5.000000000000001,0.6,0.0,2,0.028927755932068
22,5.000000000000001,0.6083333333333334,0.0,2,0.033472602530611816
23,5.000000000000001,0.6086666666666667,0.0,2,0.0387314910566664
24,5.000000000000001,0.6163333333333333,0.0,2,0.0448166048068928
25,5.000000000000001,0.6086666666666667,0.0,2,0.051857752222309594
26,5.000000000000001,0.592,0.0,2,0.06000513597890514
27,5.000000000000001,0.65,0.0,2,0.06943255713073282
28,5.000000000000001,0.6496666666666667,0.0,2,0.08034112265668825
29,5.000000000000001,0.6336666666666667,0.0,2,0.0929635355008406
30,5.000000000000001,0.65,0.0,2,0.10756905862201824
31,5.000000000000001,0.6663333333333333,0.0,2,0.12446925894640233
32,5.000000000000001,0.6996666666666667,0.0,2,0.14402465375387588
33,5.000000000000001,0.7236666666666667,0.0,2,0.16665240127970884
34,5.000000000000001,0.764,0.0,2,0.19283519958849898
35,5.000000000000001,0.7803333333333333,0.0,2,0.22313158355230872
36,5.000000000000001,0.7883333333333333,0.0,2,0.25818783958948094
37,5.000000000000001,0.7883333333333333,0.0,2,0.298751792330897
38,5.000000000000001,0.7883333333333333,0.0,2,0.34568875731264204
39,5.000000000000001,0.7883333333333333,0.0,2,0.4
40,5.000000000000001,0.584,0.0,3,0.025000000000000005
41,5.000000000000001,0.584,0.0,3,0.028927755932068
42,5.000000000000001,0.584,0.0,3,0.033472602530611816
43,5.000000000000001,0.584,0.0,3,0.0387314910566664
44,5.000000000000001,0.584,0.0,3,0.0448166048068928
45,5.000000000000001,0.6340000000000001,0.0,3,0.051857752222309594
46,5.000000000000001,0.5926666666666667,0.0,3,0.06000513597890514
47,5.000000000000001,0.6013333333333334,0.0,3,0.06943255713073282
48,5.000000000000001,0.6010000000000001,0.0,3,0.08034112265668825
49,5.000000000000001,0.609,0.0,3,0.0929635355008406
50,5.000000000000001,0.6333333333333334,0.0,3,0.10756905862201824
51,5.000000000000001,0.6086666666666666,0.0,3,0.12446925894640233
52,5.000000000000001,0.658,0.0,3,0.14402465375387588
53,5.000000000000001,0.674,0.0,3,0.16665240127970884
