Index,Score,activation,batch_size,decay_rate,epochs,loss_function,lr,mom,nesterov
0,0.3525128960609436,1,0,0,0,0,0.5668768583905258,0.7396739165409999,0
1,0.5086092948913574,1,0,0,0,0,0.015028851568223837,0.8460744136425811,0
2,0.7069746851921082,0,0,0,0,0,0.04128206009151157,0.7082426116307118,0
3,0.7081301808357239,0,0,0,0,0,0.23721362133350912,0.6658845766938292,0
4,0.702419638633728,0,0,0,1,0,0.7391200893348829,0.7318348768135433,0
5,0.39891546964645386,1,0,0,1,0,0.02319902516448251,0.6060971806814097,0
6,0.70951247215271,0,0,0,0,0,0.0171717927394136,0.48644960922984126,0
7,0.7079541683197021,0,0,0,0,0,0.8276028859617598,0.07696874306693652,0
8,0.6944288015365601,1,0,0,0,0,0.017652076876075545,0.17391401235090323,0
9,0.16534943878650665,1,0,0,1,0,0.6207361005342913,0.013893010588460257,0
10,0.2950877845287323,1,0,0,1,0,0.32049623306034003,0.7285154896329084,0
11,0.7054793834686279,0,0,0,1,0,0.010206573685714029,0.5952575111378119,0
12,0.5608493089675903,1,0,0,1,0,0.04350951137994349,0.19398516660692558,0
13,0.6970235705375671,1,0,0,0,0,0.012456574190202001,0.44889478838575747,0
14,0.3095152676105499,1,0,0,0,0,0.4512764370447462,0.4006308162280816,0
15,0.3440963327884674,1,0,0,1,0,0.06813421498097841,0.12074535150379047,0
16,0.6974652409553528,0,0,0,0,0,0.6740995441336393,0.5934552418254296,0
17,0.34286338090896606,1,0,0,0,0,0.2538106651359222,0.8678935643347201,0
18,0.32585591077804565,1,0,0,1,0,0.07433075298391391,0.3684159552545901,0
19,0.5138154029846191,1,0,0,0,0,0.10649540247522736,0.028906598235603494,0
