Index,Score,bootstrap,max_features,n_estimators
0,0.5426024955436721,False,5,100
1,0.5363636363636364,False,5,157
2,0.554367201426025,False,5,214
3,0.5365418894830659,False,5,271
4,0.5247771836007129,False,5,328
5,0.5424242424242424,False,5,385
6,0.5484848484848486,False,5,442
7,0.5484848484848486,False,5,500
8,0.5490196078431372,False,7,100
9,0.5549019607843138,False,7,157
10,0.5545454545454546,False,7,214
11,0.5607843137254902,False,7,271
12,0.5549019607843138,False,7,328
13,0.5488413547237077,False,7,385
14,0.5547237076648842,False,7,442
15,0.5547237076648842,False,7,500
16,0.5670231729055258,False,9,100
17,0.5793226381461676,False,9,157
18,0.5789661319073084,False,9,214
19,0.5668449197860963,False,9,271
20,0.5730837789661318,False,9,328
21,0.5850267379679145,False,9,385
22,0.5850267379679145,False,9,442
23,0.5730837789661318,False,9,500
24,0.5670231729055258,False,11,100
25,0.5907308377896613,False,11,157
26,0.5848484848484848,False,11,214
27,0.5727272727272728,False,11,271
28,0.5910873440285205,False,11,328
29,0.5666666666666667,False,11,385
30,0.5787878787878789,False,11,442
31,0.5727272727272728,False,11,500
32,0.6028520499108734,False,13,100
33,0.5907308377896613,False,13,157
34,0.5909090909090909,False,13,214
35,0.5907308377896613,False,13,271
36,0.5907308377896613,False,13,328
37,0.6028520499108734,False,13,385
38,0.5969696969696969,False,13,442
39,0.6028520499108734,False,13,500
