Index,Score,bootstrap,max_features,n_estimators
0,0.5670231729055258,False,11,100
1,0.5609625668449197,False,11,157
2,0.5910873440285205,False,11,214
3,0.5907308377896613,False,11,271
4,0.5848484848484848,False,11,328
5,0.5729055258467024,False,11,385
6,0.5846702317290553,False,11,442
7,0.5789661319073084,False,11,500
8,0.5907308377896613,False,12,100
9,0.5844919786096257,False,12,157
10,0.6087344028520498,False,12,214
11,0.5966131907308377,False,12,271
12,0.5846702317290553,False,12,328
13,0.6028520499108734,False,12,385
14,0.5846702317290553,False,12,442
15,0.5905525846702318,False,12,500
16,0.6028520499108734,False,13,100
17,0.5966131907308377,False,13,157
18,0.6028520499108734,False,13,214
19,0.5905525846702318,False,13,271
20,0.5848484848484848,False,13,328
21,0.5848484848484848,False,13,385
22,0.5907308377896613,False,13,442
23,0.5967914438502674,False,13,500
24,0.5907308377896613,False,14,100
25,0.6028520499108734,False,14,157
26,0.6028520499108734,False,14,214
27,0.5967914438502674,False,14,271
28,0.6028520499108734,False,14,328
29,0.5907308377896613,False,14,385
30,0.6028520499108734,False,14,442
31,0.6028520499108734,False,14,500
32,0.5967914438502674,False,15,100
33,0.6028520499108734,False,15,157
34,0.5967914438502674,False,15,214
35,0.6087344028520498,False,15,271
36,0.5907308377896613,False,15,328
37,0.6028520499108734,False,15,385
38,0.6028520499108734,False,15,442
39,0.6087344028520498,False,15,500
40,0.6026737967914438,False,16,100
41,0.614795008912656,False,16,157
42,0.6087344028520498,False,16,214
43,0.6085561497326204,False,16,271
44,0.6085561497326204,False,16,328
45,0.6087344028520498,False,16,385
46,0.6028520499108734,False,16,442
47,0.6028520499108734,False,16,500
