Index,Score,max_features,n_estimators
0,0.5597147950089126,5,100
1,0.5661319073083779,5,200
2,0.5541889483065954,5,300
3,0.5242424242424242,5,400
4,0.5661319073083779,5,500
5,0.5716577540106952,7,100
6,0.5657754010695186,7,200
7,0.5475935828877005,7,300
8,0.5723707664884136,7,400
9,0.5598930481283422,7,500
10,0.5657754010695186,9,100
11,0.5543672014260249,9,200
12,0.5962566844919786,9,300
13,0.5597147950089126,9,400
14,0.5484848484848485,9,500
15,0.5894830659536542,11,100
16,0.5422459893048128,11,200
17,0.5545454545454546,11,300
18,0.5543672014260249,11,400
19,0.5183600713012477,11,500
20,0.5720142602495544,13,100
21,0.5901960784313725,13,200
22,0.5420677361853833,13,300
23,0.5604278074866309,13,400
24,0.5543672014260249,13,500
