Index,Score,bootstrap,max_features,n_estimators
0,0.9013333333333333,False,9,100
1,0.893,False,9,157
2,0.893,False,9,214
3,0.9179999999999999,False,9,271
4,0.893,False,9,328
5,0.9096666666666667,False,9,385
6,0.9013333333333333,False,9,442
7,0.9096666666666667,False,9,500
8,0.9096666666666667,False,11,100
9,0.9179999999999999,False,11,157
10,0.9096666666666667,False,11,214
11,0.9179999999999999,False,11,271
12,0.9179999999999999,False,11,328
13,0.9096666666666667,False,11,385
14,0.9096666666666667,False,11,442
15,0.9096666666666667,False,11,500
16,0.9096666666666667,False,13,100
17,0.9096666666666667,False,13,157
18,0.9179999999999999,False,13,214
19,0.9096666666666667,False,13,271
20,0.9096666666666667,False,13,328
21,0.9179999999999999,False,13,385
22,0.9096666666666667,False,13,442
23,0.9096666666666667,False,13,500
24,0.9013333333333333,False,15,100
25,0.9096666666666667,False,15,157
26,0.9013333333333333,False,15,214
27,0.9013333333333333,False,15,271
28,0.9013333333333333,False,15,328
29,0.9096666666666667,False,15,385
30,0.9096666666666667,False,15,442
31,0.9013333333333333,False,15,500
32,0.9013333333333333,False,17,100
33,0.9013333333333333,False,17,157
34,0.9013333333333333,False,17,214
35,0.9013333333333333,False,17,271
36,0.9013333333333333,False,17,328
37,0.9013333333333333,False,17,385
38,0.9013333333333333,False,17,442
39,0.9013333333333333,False,17,500
